Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Features,Annotation
Q9Y2A9,B3GN3_HUMAN,reviewed,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3 (EC 2.4.1.149) (Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase) (EC 2.4.1.146) (Beta-1,3-galactosyltransferase 8) (Beta-1,3-GalTase 8) (Beta3Gal-T8) (Beta3GalT8) (b3Gal-T8) (Beta-3-Gx-T8) (Core 1 extending beta-1,3-N-acetylglucosaminyltransferase) (Core1-beta3GlcNAcT) (Transmembrane protein 3) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 8) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3) (BGnT-3) (Beta-1,3-Gn-T3) (Beta-1,3-N-acetylglucosaminyltransferase 3) (Beta3Gn-T3) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 8)",B3GNT3 B3GALT8 TMEM3 UNQ637/PRO1266,Homo sapiens (Human),372,Chain (1); Frameshift (1); Glycosylation (5); Natural variant (2); Sequence conflict (2); Topological domain (2); Transmembrane (1),5 out of 5
P21926,CD9_HUMAN,reviewed,CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9),CD9 MIC3 TSPAN29 GIG2,Homo sapiens (Human),228,Chain (1); Disulfide bond (2); Glycosylation (2); Helix (9); Initiator methionine (1); Lipidation (6); Mutagenesis (6); Sequence conflict (1); Topological domain (5); Transmembrane (4); Turn (1),5 out of 5
Q9HCU4,CELR2_HUMAN,reviewed,Cadherin EGF LAG seven-pass G-type receptor 2 (Cadherin family member 10) (Epidermal growth factor-like protein 2) (EGF-like protein 2) (Flamingo homolog 3) (Multiple epidermal growth factor-like domains protein 3) (Multiple EGF-like domains protein 3),CELSR2 CDHF10 EGFL2 KIAA0279 MEGF3,Homo sapiens (Human),2923,Chain (1); Compositional bias (1); Disulfide bond (27); Domain (20); Glycosylation (17); Modified residue (2); Natural variant (5); Signal peptide (1); Topological domain (8); Transmembrane (7),5 out of 5
O00421,CCRL2_HUMAN,reviewed,C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor),CCRL2 CCR11 CCR6 CKRX CRAM HCR,Homo sapiens (Human),344,Alternative sequence (1); Chain (1); Disulfide bond (1); Glycosylation (1); Natural variant (4); Sequence conflict (4); Topological domain (8); Transmembrane (7),5 out of 5
Q8IZ52,CHSS2_HUMAN,reviewed,Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2),CHPF CSS2 UNQ651/PRO1281,Homo sapiens (Human),775,Alternative sequence (2); Chain (1); Compositional bias (1); Glycosylation (2); Metal binding (1); Natural variant (1); Sequence conflict (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9NPF2,CHSTB_HUMAN,reviewed,Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1),CHST11,Homo sapiens (Human),352,Alternative sequence (1); Chain (1); Glycosylation (4); Mutagenesis (5); Natural variant (1); Nucleotide binding (2); Sequence conflict (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9NX76,CKLF6_HUMAN,reviewed,CKLF-like MARVEL transmembrane domain-containing protein 6 (Chemokine-like factor superfamily member 6),CMTM6 CKLFSF6,Homo sapiens (Human),183,Chain (1); Domain (1); Modified residue (3); Natural variant (1); Topological domain (5); Transmembrane (4),5 out of 5
P00414,COX3_HUMAN,reviewed,Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III),MT-CO3 COIII COXIII MTCO3,Homo sapiens (Human),261,Chain (1); Natural variant (9); Sequence conflict (1); Topological domain (8); Transmembrane (7),5 out of 5
Q96JQ2,CLMN_HUMAN,reviewed,Calmin (Calponin-like transmembrane domain protein),CLMN KIAA1188,Homo sapiens (Human),1002,Chain (1); Domain (2); Erroneous initiation (1); Frameshift (1); Modified residue (9); Natural variant (1); Region (1); Sequence caution (1); Sequence conflict (2); Transmembrane (1),4 out of 5
Q7Z408,CSMD2_HUMAN,reviewed,CUB and sushi domain-containing protein 2 (CUB and sushi multiple domains protein 2),CSMD2 KIAA1884,Homo sapiens (Human),3487,Alternative sequence (12); Chain (1); Disulfide bond (66); Domain (40); Erroneous initiation (1); Glycosylation (35); Natural variant (8); Sequence conflict (7); Topological domain (2); Transmembrane (1),4 out of 5
O75829,CNMD_HUMAN,reviewed,Leukocyte cell-derived chemotaxin 1 (Chondromodulin) [Cleaved into: Chondrosurfactant protein (CH-SP); Chondromodulin-1 (Chondromodulin-I) (ChM-I)],CNMD CHMI LECT1 MYETS1,Homo sapiens (Human),334,Alternative sequence (1); Chain (2); Disulfide bond (5); Domain (1); Glycosylation (1); Natural variant (2); Propeptide (1); Transmembrane (1),5 out of 5
Q8IZF6,AGRG4_HUMAN,reviewed,Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112),ADGRG4 GPR112,Homo sapiens (Human),3080,Alternative sequence (7); Chain (1); Disulfide bond (1); Domain (2); Glycosylation (8); Natural variant (5); Sequence conflict (5); Signal peptide (1); Topological domain (8); Transmembrane (7),5 out of 5
Q8NB49,AT11C_HUMAN,reviewed,Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C),ATP11C ATPIG ATPIQ,Homo sapiens (Human),1132,Active site (1); Alternative sequence (3); Chain (1); Erroneous initiation (4); Metal binding (2); Modified residue (4); Natural variant (6); Sequence conflict (2); Topological domain (11); Transmembrane (10),5 out of 5
Q93084,AT2A3_HUMAN,reviewed,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (SERCA3) (SR Ca(2+)-ATPase 3) (EC 7.2.2.10) (Calcium pump 3),ATP2A3,Homo sapiens (Human),999,Active site (1); Alternative sequence (6); Binding site (1); Chain (1); Metal binding (13); Modified residue (6); Natural variant (2); Region (2); Sequence conflict (3); Topological domain (11); Transmembrane (10),5 out of 5
O00481,BT3A1_HUMAN,reviewed,Butyrophilin subfamily 3 member A1 (CD antigen CD277),BTN3A1 BTF5,Homo sapiens (Human),513,Alternative sequence (4); Beta strand (30); Chain (1); Disulfide bond (2); Domain (3); Erroneous initiation (1); Glycosylation (1); Helix (8); Natural variant (4); Sequence conflict (10); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (7),5 out of 5
O60238,BNI3L_HUMAN,reviewed,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Adenovirus E1B19K-binding protein B5) (BCL2/adenovirus E1B 19 kDa protein-interacting protein 3A) (NIP3-like protein X) (NIP3L),BNIP3L BNIP3A BNIP3H NIX,Homo sapiens (Human),219,Alternative sequence (1); Chain (1); Erroneous termination (1); Modified residue (5); Motif (1); Sequence conflict (2); Transmembrane (1),5 out of 5
Q5T7R7,CA185_HUMAN,reviewed,Uncharacterized protein C1orf185,C1orf185,Homo sapiens (Human),199,Chain (1); Transmembrane (1),1 out of 5
Q86V35,CABP7_HUMAN,reviewed,Calcium-binding protein 7 (CaBP7) (Calneuron II) (Calneuron-2),CABP7 CALN2,Homo sapiens (Human),215,Beta strand (2); Calcium binding (2); Chain (1); Domain (2); Helix (5); Topological domain (2); Transmembrane (1); Turn (2),4 out of 5
O43529,CHSTA_HUMAN,reviewed,Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST),CHST10,Homo sapiens (Human),356,Chain (1); Glycosylation (3); Mutagenesis (7); Natural variant (2); Nucleotide binding (2); Topological domain (2); Transmembrane (1),5 out of 5
Q96KA5,CLP1L_HUMAN,reviewed,Cleft lip and palate transmembrane protein 1-like protein (CLPTM1-like protein) (Cisplatin resistance-related protein 9) (CRR9p),CLPTM1L CRR9,Homo sapiens (Human),538,Alternative sequence (1); Chain (1); Erroneous initiation (1); Glycosylation (3); Natural variant (2); Topological domain (7); Transmembrane (6),4 out of 5
Q9P0S2,COX16_HUMAN,reviewed,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial (hCOX16)",COX16 C14orf112 HSPC203 PTD019,Homo sapiens (Human),106,Chain (1); Topological domain (2); Transmembrane (1),4 out of 5
Q9HBW9,AGRL4_HUMAN,reviewed,"Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)",ADGRL4 ELTD1 ETL UNQ202/PRO228,Homo sapiens (Human),690,Chain (1); Compositional bias (1); Disulfide bond (6); Domain (3); Erroneous initiation (2); Glycosylation (9); Natural variant (3); Signal peptide (1); Site (1); Topological domain (8); Transmembrane (7),5 out of 5
Q9BQD7,ANKMT_HUMAN,reviewed,Adenine nucleotide translocase lysine N-methyltransferase (ANT-KMT) (EC 2.1.1.-),ANTKMT C16orf24 FAM173A RJD7,Homo sapiens (Human),235,Chain (1); Mutagenesis (3); Region (3); Transmembrane (1),5 out of 5
Q9UMX3,BOK_HUMAN,reviewed,Bcl-2-related ovarian killer protein (hBOK) (Bcl-2-like protein 9) (Bcl2-L-9),BOK BCL2L9,Homo sapiens (Human),212,Alternative sequence (1); Chain (1); Cross-link (4); Helix (8); Modified residue (1); Motif (4); Mutagenesis (1); Region (2); Transmembrane (1); Turn (1),5 out of 5
Q6UWJ8,C16L2_HUMAN,reviewed,CD164 sialomucin-like 2 protein,CD164L2 UNQ6122/PRO20044,Homo sapiens (Human),174,Alternative sequence (1); Chain (1); Glycosylation (2); Natural variant (1); Sequence conflict (5); Signal peptide (1); Topological domain (2); Transmembrane (1),3 out of 5
Q7Z7M8,B3GN8_HUMAN,reviewed,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 (BGnT-8) (Beta-1,3-Gn-T8) (Beta-1,3-N-acetylglucosaminyltransferase 8) (Beta3Gn-T8) (EC 2.4.1.-)",B3GNT8 B3GALT7 BGALT15,Homo sapiens (Human),397,Chain (1); Compositional bias (3); Glycosylation (1); Mutagenesis (1); Natural variant (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8NHY0,B4GN2_HUMAN,reviewed,"Beta-1,4 N-acetylgalactosaminyltransferase 2 (EC 2.4.1.-) (Sd(a) beta-1,4-GalNAc transferase) (UDP-GalNAc:Neu5Aca2-3Galb-R b1,4-N-acetylgalactosaminyltransferase)",B4GALNT2 GALGT2,Homo sapiens (Human),566,Alternative sequence (2); Chain (1); Natural variant (3); Topological domain (2); Transmembrane (1),5 out of 5
A0A1B0GVN3,CB092_HUMAN,reviewed,Uncharacterized protein C2orf92 (Long intergenic non-protein coding RNA 1125),C2orf92 LINC01125,Homo sapiens (Human),265,Chain (1); Signal peptide (1); Transmembrane (1),2 out of 5
Q13948,CASP_HUMAN,reviewed,Protein CASP,CUX1 CUTL1,Homo sapiens (Human),678,Alternative sequence (3); Chain (1); Coiled coil (2); Modified residue (1); Mutagenesis (2); Natural variant (4); Sequence conflict (6); Topological domain (2); Transmembrane (1),5 out of 5
Q6ZU64,CFA65_HUMAN,reviewed,Cilia- and flagella-associated protein 65 (Coiled-coil domain-containing protein 108),CFAP65 CCDC108,Homo sapiens (Human),1925,Alternative sequence (6); Chain (1); Coiled coil (1); Compositional bias (1); Domain (1); Erroneous initiation (1); Natural variant (13); Sequence caution (1); Sequence conflict (3); Transmembrane (1),5 out of 5
Q9HCU0,CD248_HUMAN,reviewed,Endosialin (Tumor endothelial marker 1) (CD antigen CD248),CD248 CD164L1 TEM1,Homo sapiens (Human),757,Alternative sequence (1); Chain (1); Compositional bias (1); Disulfide bond (4); Domain (3); Glycosylation (27); Modified residue (1); Natural variant (2); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
P07766,CD3E_HUMAN,reviewed,T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e),CD3E T3E,Homo sapiens (Human),207,Beta strand (8); Chain (1); Disulfide bond (1); Domain (2); Helix (3); Modified residue (2); Region (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q86VU5,CMTD1_HUMAN,reviewed,Catechol O-methyltransferase domain-containing protein 1 (EC 2.1.1.-),COMTD1 UNQ766/PRO1558,Homo sapiens (Human),262,Beta strand (7); Binding site (8); Chain (1); Helix (10); Region (1); Sequence conflict (1); Transmembrane (1); Turn (1),4 out of 5
Q9UBR5,CKLF_HUMAN,reviewed,Chemokine-like factor (C32),CKLF CKLF1 HSPC224 UNQ410/PRO772,Homo sapiens (Human),152,Alternative sequence (4); Chain (1); Domain (1); Transmembrane (3),5 out of 5
P46092,CCR10_HUMAN,reviewed,C-C chemokine receptor type 10 (C-C CKR-10) (CC-CKR-10) (CCR-10) (G-protein coupled receptor 2),CCR10 GPR2,Homo sapiens (Human),362,Chain (1); Disulfide bond (1); Sequence conflict (4); Topological domain (8); Transmembrane (7),5 out of 5
Q08828,ADCY1_HUMAN,reviewed,Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase),ADCY1,Homo sapiens (Human),1119,Binding site (3); Chain (1); Glycosylation (1); Metal binding (5); Modified residue (1); Natural variant (3); Nucleotide binding (4); Region (2); Topological domain (3); Transmembrane (12),5 out of 5
Q9UN42,AT1B4_HUMAN,reviewed,"Protein ATP1B4 (X,K-ATPase subunit beta-m) (X/potassium-transporting ATPase subunit beta-m)",ATP1B4,Homo sapiens (Human),357,Alternative sequence (1); Chain (1); Compositional bias (1); Natural variant (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9UIR0,BTNL2_HUMAN,reviewed,Butyrophilin-like protein 2 (BTL-II),BTNL2,Homo sapiens (Human),455,Alternative sequence (8); Chain (1); Disulfide bond (3); Domain (3); Glycosylation (2); Natural variant (12); Sequence conflict (3); Topological domain (2); Transmembrane (1),5 out of 5
Q69YU5,BWNIN_HUMAN,reviewed,Protein BRAWNIN,BRAWNIN BR C12orf73,Homo sapiens (Human),71,Chain (1); Natural variant (1); Topological domain (1); Transmembrane (1),4 out of 5
Q9UBV7,B4GT7_HUMAN,reviewed,"Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)",B4GALT7 XGALT1 UNQ748/PRO1478,Homo sapiens (Human),327,Beta strand (12); Binding site (3); Chain (1); Disulfide bond (1); Glycosylation (1); Helix (9); Metal binding (2); Natural variant (2); Region (5); Sequence conflict (1); Topological domain (2); Transmembrane (1); Turn (4),5 out of 5
Q6UX72,B3GN9_HUMAN,reviewed,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 (BGnT-9) (Beta-1,3-Gn-T9) (Beta-1,3-N-acetylglucosaminyltransferase 9) (Beta3Gn-T9) (EC 2.4.1.-)",B3GNT9 UNQ1922/PRO4397,Homo sapiens (Human),402,Chain (1); Frameshift (1); Topological domain (2); Transmembrane (1),3 out of 5
Q8N8Q1,C56D1_HUMAN,reviewed,Cytochrome b561 domain-containing protein 1,CYB561D1,Homo sapiens (Human),229,Alternative sequence (5); Chain (1); Domain (1); Metal binding (4); Topological domain (2); Transmembrane (6),4 out of 5
P41180,CASR_HUMAN,reviewed,Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1),CASR GPRC2A PCAR1,Homo sapiens (Human),1078,Alternative sequence (1); Beta strand (31); Binding site (4); Chain (1); Disulfide bond (10); Erroneous gene model prediction (1); Glycosylation (11); Helix (23); Metal binding (9); Modified residue (2); Mutagenesis (10); Natural variant (120); Region (6); Sequence conflict (3); Signal peptide (1); Site (1); Topological domain (8); Transmembrane (7); Turn (6),5 out of 5
Q96NF6,CH049_HUMAN,reviewed,Putative uncharacterized protein C8orf49,C8orf49,Homo sapiens (Human),230,Chain (1); Natural variant (3); Transmembrane (1),2 out of 5
Q01151,CD83_HUMAN,reviewed,CD83 antigen (hCD83) (B-cell activation protein) (Cell surface protein HB15) (CD antigen CD83),CD83,Homo sapiens (Human),205,Beta strand (7); Chain (1); Disulfide bond (1); Domain (1); Glycosylation (3); Helix (1); Natural variant (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9UJS0,CMC2_HUMAN,reviewed,Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13),SLC25A13 ARALAR2,Homo sapiens (Human),675,Alternative sequence (1); Beta strand (6); Calcium binding (3); Chain (1); Domain (4); Erroneous gene model prediction (2); Helix (20); Initiator methionine (1); Metal binding (4); Modified residue (9); Natural variant (3); Region (4); Repeat (3); Sequence conflict (2); Transmembrane (6); Turn (2),5 out of 5
Q9NWW5,CLN6_HUMAN,reviewed,Ceroid-lipofuscinosis neuronal protein 6 (Protein CLN6),CLN6,Homo sapiens (Human),311,Alternative sequence (1); Chain (1); Natural variant (32); Sequence conflict (1); Transmembrane (7),5 out of 5
Q9NPB9,ACKR4_HUMAN,reviewed,Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR),ACKR4 CCBP2 CCR11 CCRL1 VSHK1,Homo sapiens (Human),350,Chain (1); Disulfide bond (1); Glycosylation (2); Topological domain (8); Transmembrane (7),5 out of 5
P25106,ACKR3_HUMAN,reviewed,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),ACKR3 CMKOR1 CXCR7 GPR159 RDC1,Homo sapiens (Human),362,Chain (1); Disulfide bond (1); Glycosylation (3); Modified residue (3); Mutagenesis (2); Natural variant (1); Region (1); Sequence conflict (7); Topological domain (8); Transmembrane (7),5 out of 5
Q9BYF1,ACE2_HUMAN,reviewed,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2],ACE2 UNQ868/PRO1885,Homo sapiens (Human),805,Active site (2); Beta strand (19); Binding site (5); Chain (2); Disulfide bond (3); Glycosylation (7); Helix (38); Metal binding (3); Mutagenesis (36); Natural variant (4); Region (6); Sequence caution (1); Sequence conflict (3); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (14),5 out of 5
P43681,ACHA4_HUMAN,reviewed,Neuronal acetylcholine receptor subunit alpha-4,CHRNA4 NACRA4,Homo sapiens (Human),627,Alternative sequence (2); Beta strand (17); Chain (1); Disulfide bond (2); Glycosylation (3); Helix (11); Lipidation (1); Modified residue (3); Natural variant (4); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (4); Turn (7),5 out of 5
Q9UM73,ALK_HUMAN,reviewed,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),ALK,Homo sapiens (Human),1620,Active site (1); Beta strand (15); Binding site (7); Chain (1); Compositional bias (1); Domain (4); Erroneous initiation (1); Glycosylation (16); Helix (17); Modified residue (7); Mutagenesis (1); Natural variant (38); Nucleotide binding (1); Region (1); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q96K78,AGRG7_HUMAN,reviewed,Adhesion G-protein coupled receptor G7 (G-protein coupled receptor 128),ADGRG7 GPR128,Homo sapiens (Human),797,Chain (1); Domain (1); Erroneous initiation (1); Glycosylation (10); Natural variant (3); Signal peptide (1); Topological domain (8); Transmembrane (7),5 out of 5
Q96PS8,AQP10_HUMAN,reviewed,Aquaporin-10 (AQP-10) (Aquaglyceroporin-10) (Small intestine aquaporin),AQP10,Homo sapiens (Human),301,Alternative sequence (1); Beta strand (1); Chain (1); Glycosylation (2); Helix (13); Intramembrane (2); Motif (2); Mutagenesis (8); Natural variant (2); Topological domain (8); Transmembrane (6); Turn (3),5 out of 5
P98198,AT8B2_HUMAN,reviewed,Phospholipid-transporting ATPase ID (EC 7.6.2.1) (ATPase class I type 8B member 2) (P4-ATPase flippase complex alpha subunit ATP8B2),ATP8B2 ATPID KIAA1137,Homo sapiens (Human),1209,Active site (1); Alternative sequence (6); Chain (1); Erroneous initiation (2); Frameshift (1); Metal binding (2); Modified residue (1); Sequence conflict (1); Topological domain (11); Transmembrane (10),5 out of 5
P20648,ATP4A_HUMAN,reviewed,Potassium-transporting ATPase alpha chain 1 (EC 7.2.2.19) (Gastric H(+)/K(+) ATPase subunit alpha) (Proton pump),ATP4A,Homo sapiens (Human),1035,Active site (1); Chain (1); Metal binding (2); Modified residue (7); Natural variant (1); Topological domain (11); Transmembrane (10),5 out of 5
P50895,BCAM_HUMAN,reviewed,Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239),BCAM LU MSK19,Homo sapiens (Human),628,Beta strand (18); Chain (1); Disulfide bond (5); Domain (5); Erroneous gene model prediction (1); Glycosylation (5); Helix (4); Modified residue (4); Mutagenesis (1); Natural variant (8); Region (1); Sequence conflict (3); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q07812,BAX_HUMAN,reviewed,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),BAX BCL2L4,Homo sapiens (Human),192,Alternative sequence (8); Beta strand (3); Chain (1); Helix (10); Modified residue (1); Motif (3); Mutagenesis (4); Natural variant (4); Transmembrane (1); Turn (4),5 out of 5
P35070,BTC_HUMAN,reviewed,Probetacellulin [Cleaved into: Betacellulin (BTC)],BTC,Homo sapiens (Human),178,Beta strand (4); Chain (2); Compositional bias (1); Disulfide bond (3); Domain (1); Glycosylation (1); Helix (1); Natural variant (3); Propeptide (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
P32247,BRS3_HUMAN,reviewed,Bombesin receptor subtype-3 (BRS-3),BRS3,Homo sapiens (Human),399,Chain (1); Disulfide bond (1); Glycosylation (2); Lipidation (1); Natural variant (2); Topological domain (8); Transmembrane (7),5 out of 5
Q9NPF0,CD320_HUMAN,reviewed,CD320 antigen (8D6 antigen) (FDC-signaling molecule 8D6) (FDC-SM-8D6) (Transcobalamin receptor) (TCblR) (CD antigen CD320),CD320 8D6A UNQ198/PRO224,Homo sapiens (Human),282,Alternative sequence (1); Beta strand (7); Chain (1); Compositional bias (3); Disulfide bond (6); Domain (2); Glycosylation (3); Helix (5); Metal binding (12); Natural variant (4); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q6UWU4,CF089_HUMAN,reviewed,Bombesin receptor-activated protein C6orf89 (Amfion),C6orf89 BRAP UNQ177/PRO203,Homo sapiens (Human),347,Alternative sequence (2); Chain (1); Erroneous initiation (2); Sequence conflict (5); Topological domain (2); Transmembrane (1),5 out of 5
P50406,5HT6R_HUMAN,reviewed,5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6),HTR6,Homo sapiens (Human),440,Chain (1); Disulfide bond (1); Sequence conflict (1); Topological domain (8); Transmembrane (7),5 out of 5
P62952,BLCAP_HUMAN,reviewed,Bladder cancer-associated protein (Bladder cancer 10 kDa protein) (Bc10),BLCAP BC10,Homo sapiens (Human),87,Chain (1); Natural variant (3); Transmembrane (2),5 out of 5
O00478,BT3A3_HUMAN,reviewed,Butyrophilin subfamily 3 member A3,BTN3A3 BTF3,Homo sapiens (Human),584,Alternative sequence (2); Beta strand (32); Chain (1); Disulfide bond (2); Domain (3); Glycosylation (1); Helix (5); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (7),5 out of 5
P51572,BAP31_HUMAN,reviewed,B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (6C6-AG tumor-associated antigen) (Protein CDM) (p28),BCAP31 BAP31 DXS1357E,Homo sapiens (Human),246,Alternative sequence (1); Chain (1); Coiled coil (1); Helix (1); Initiator methionine (1); Motif (1); Mutagenesis (2); Sequence conflict (3); Site (2); Topological domain (4); Transmembrane (3),5 out of 5
O95415,BRI3_HUMAN,reviewed,Brain protein I3 (pRGR2),BRI3,Homo sapiens (Human),125,Alternative sequence (2); Chain (1); Compositional bias (1); Natural variant (1); Sequence conflict (1); Transmembrane (2),5 out of 5
Q9UBX8,B4GT6_HUMAN,reviewed,"Beta-1,4-galactosyltransferase 6 (Beta-1,4-GalTase 6) (Beta4Gal-T6) (b4Gal-T6) (EC 2.4.1.-) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 6) (UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 6)",B4GALT6,Homo sapiens (Human),382,Alternative sequence (1); Binding site (3); Chain (1); Disulfide bond (2); Glycosylation (8); Metal binding (2); Natural variant (1); Region (5); Sequence conflict (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8WY22,BRI3B_HUMAN,reviewed,BRI3-binding protein (I3-binding protein) (Cervical cancer 1 proto-oncogene-binding protein KG19) (HCCRBP-1),BRI3BP KG19,Homo sapiens (Human),251,Chain (1); Coiled coil (1); Frameshift (1); Modified residue (2); Sequence conflict (1); Transmembrane (4),4 out of 5
Q9BYG0,B3GN5_HUMAN,reviewed,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase (EC 2.4.1.206) (Lactotriaosylceramide synthase) (Lc(3)Cer synthase) (Lc3 synthase) (UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5) (BGnT-5) (Beta-1,3-Gn-T5) (Beta-1,3-N-acetylglucosaminyltransferase 5) (Beta3Gn-T5)",B3GNT5,Homo sapiens (Human),378,Chain (1); Frameshift (1); Glycosylation (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9Y6N8,CAD10_HUMAN,reviewed,Cadherin-10 (T2-cadherin),CDH10,Homo sapiens (Human),788,Chain (1); Domain (5); Glycosylation (4); Modified residue (2); Natural variant (2); Propeptide (1); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
